# Histogram   
# Time        	binMidPoints  	dataCounts    	dataValues    
5.000000e+00	7.500000e+00	0	0.000000e+00
5.000000e+00	6.500000e+00	0	0.000000e+00
5.000000e+00	4.000000e+00	0	0.000000e+00
5.000000e+00	1.000000e+00	371	9.275000e-01
5.000000e+00	2.500000e+00	29	7.250000e-02
5.000000e+00	7.500000e+00	0	0.000000e+00
5.500000e+00	9.500000e+00	0	0.000000e+00
5.500000e+00	8.500000e+00	0	0.000000e+00
5.500000e+00	7.500000e+00	0	0.000000e+00
5.500000e+00	6.500000e+00	0	0.000000e+00
5.500000e+00	4.000000e+00	0	0.000000e+00
5.500000e+00	1.000000e+00	365	9.125000e-01
5.500000e+00	2.500000e+00	35	8.750000e-02
5.500000e+00	7.500000e+00	0	0.000000e+00
6.000000e+00	9.500000e+00	0	0.000000e+00
6.000000e+00	8.500000e+00	0	0.000000e+00
6.000000e+00	7.500000e+00	0	0.000000e+00
6.000000e+00	6.500000e+00	0	0.000000e+00
6.000000e+00	4.000000e+00	0	0.000000e+00
6.000000e+00	1.000000e+00	221	5.525000e-01
6.000000e+00	2.500000e+00	179	4.475000e-01
6.000000e+00	7.500000e+00	0	0.000000e+00
6.500000e+00	9.500000e+00	0	0.000000e+00
6.500000e+00	8.500000e+00	0	0.000000e+00
6.500000e+00	7.500000e+00	0	0.000000e+00
6.500000e+00	6.500000e+00	0	0.000000e+00
6.500000e+00	4.000000e+00	0	0.000000e+00
6.500000e+00	1.000000e+00	1	2.500000e-03
6.500000e+00	2.500000e+00	399	9.975000e-01
6.500000e+00	7.500000e+00	0	0.000000e+00
7.000000e+00	9.500000e+00	0	0.000000e+00
7.000000e+00	8.500000e+00	0	0.000000e+00
7.000000e+00	7.500000e+00	0	0.000000e+00
7.000000e+00	6.500000e+00	0	0.000000e+00
7.000000e+00	4.000000e+00	0	0.000000e+00
7.000000e+00	1.000000e+00	395	9.875000e-01
7.000000e+00	2.500000e+00	5	1.250000e-02
7.000000e+00	7.500000e+00	0	0.000000e+00
7.500000e+00	9.500000e+00	0	0.000000e+00
7.500000e+00	8.500000e+00	0	0.000000e+00
7.500000e+00	7.500000e+00	0	0.000000e+00
7.500000e+00	6.500000e+00	0	0.000000e+00
7.500000e+00	4.000000e+00	0	0.000000e+00
7.500000e+00	1.000000e+00	384	9.600000e-01
7.500000e+00	2.500000e+00	16	4.000000e-02
7.500000e+00	7.500000e+00	0	0.000000e+00
8.000000e+00	9.500000e+00	0	0.000000e+00
8.000000e+00	8.500000e+00	0	0.000000e+00
8.000000e+00	7.500000e+00	0	0.000000e+00
8.000000e+00	6.500000e+00	0	0.000000e+00
8.000000e+00	4.000000e+00	0	0.000000e+00
8.000000e+00	1.000000e+00	1	2.500000e-03
8.000000e+00	2.500000e+00	399	9.975000e-01
8.000000e+00	7.500000e+00	0	0.000000e+00
8.500000e+00	9.500000e+00	0	0.000000e+00
8.500000e+00	8.500000e+00	0	0.000000e+00
8.500000e+00	7.500000e+00	0	0.000000e+00
8.500000e+00	6.500000e+00	0	0.000000e+00
8.500000e+00	4.000000e+00	0	0.000000e+00
8.500000e+00	1.000000e+00	2	5.000000e-03
8.500000e+00	2.500000e+00	398	9.950000e-01
8.500000e+00	7.500000e+00	0	0.000000e+00
9.000000e+00	9.500000e+00	0	0.000000e+00
9.000000e+00	8.500000e+00	0	0.000000e+00
9.000000e+00	7.500000e+00	0	0.000000e+00
9.000000e+00	6.500000e+00	0	0.000000e+00
9.000000e+00	4.000000e+00	0	0.000000e+00
9.000000e+00	1.000000e+00	398	9.950000e-01
9.000000e+00	2.500000e+00	2	5.000000e-03
9.000000e+00	7.500000e+00	0	0.000000e+00
9.500000e+00	9.500000e+00	0	0.000000e+00
9.500000e+00	8.500000e+00	0	0.000000e+00
9.500000e+00	7.500000e+00	0	0.000000e+00
9.500000e+00	6.500000e+00	0	0.000000e+00
9.500000e+00	4.000000e+00	0	0.000000e+00
9.500000e+00	1.000000e+00	0	0.000000e+00
9.500000e+00	2.500000e+00	400	1.000000e+00
9.500000e+00	7.500000e+00	0	0.000000e+00
1.000000e+01	9.500000e+00	0	0.000000e+00
1.000000e+01	8.500000e+00	0	0.000000e+00
1.000000e+01	7.500000e+00	0	0.000000e+00
1.000000e+01	6.500000e+00	0	0.000000e+00
1.000000e+01	4.000000e+00	0	0.000000e+00
1.000000e+01	1.000000e+00	1	2.500000e-03
1.000000e+01	2.500000e+00	399	9.975000e-01
1.000000e+01	7.500000e+00	0	0.000000e+00
